,fluxes,reduced_costs
biomass_dilution,0.07046271184428105,-0.6763908143263206
protein_biomass_to_biomass,0.03487323865373259,0.0
mRNA_biomass_to_biomass,0.00010451789579267729,0.0
tRNA_biomass_to_biomass,0.000611798489511213,0.0
rRNA_biomass_to_biomass,0.0032320153414251086,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.004178695475048197,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.007832459415554585,0.0
prosthetic_group_biomass_to_biomass,1.378983049208984e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_HQN,0.0,0.0
DM_atp_c_,0.0,-0.016601173701755217
DM_dhptd(c),0.0,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),4.955673838942141,0.0
EX_acald(e),0.0,-0.016596635788619647
EX_ala_D(e),0.0,0.0
EX_ala_L(e),-0.04137270436985077,0.0
EX_alaasp(e),0.0,-0.008293590200962087
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,-0.008287605240232846
EX_alahis(e),4.172784744383655e-23,0.0
EX_alaleu(e),4.129270822750803e-23,0.0
EX_alathr(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),0.0,-0.03319547041034541
EX_arg_L(e),-0.026721170439970396,0.0
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.225,-0.016593199648971844
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.225,-0.016594951976420757
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cd2(e),0.0,-0.034500932771017394
EX_cellb(e),-0.07449289,-0.0663888916445971
EX_cgly(e),-1.0,-0.008287002994832468
EX_chol(e),0.0,0.0
EX_chols(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.0,-0.012444096054668358
EX_cobalt2(e),-0.0005502715018767284,0.0
EX_crn(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.9974968194071456,0.0
EX_dextrin(e),0.0,-0.1825627540714898
EX_drib(e),-0.17878295,-0.01659173480552062
EX_ethso3(e),0.0,0.0
EX_etoh(e),1.3541052537225795,0.0
EX_fe2(e),-1e-08,-2061956.7764330588
EX_fe3(e),0.0,0.0
EX_fol(e),0.0,0.0
EX_for(e),4.769118378288699,0.0
EX_fru(e),-0.14898579,-0.03319555449137054
EX_gal(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gbbtn(e),0.0,0.0
EX_glc_D(e),0.0,-0.03319492399262907
EX_glcn(e),-0.14898579,-0.033195192160898834
EX_gln_L(e),0.0,0.0
EX_glu_L(e),-0.07385231406249268,0.0
EX_gly(e),-0.45,-0.01658899190294297
EX_glyasn(e),0.0,-0.024880804889204692
EX_glyasp(e),0.0,-0.024882557216653604
EX_glyb(e),0.0,0.0
EX_glyc(e),-0.8128962238615364,0.0
EX_glyc3p(e),-0.043413233177821385,0.0
EX_glycys(e),0.0,-0.008287002994832468
EX_glygln(e),0.0,-0.00828787554585539
EX_glyglu(e),0.0,-0.008287605240232846
EX_glyleu(e),0.0,-0.02073880962544572
EX_glymet(e),0.0,-0.004143733860632369
EX_glyphe(e),0.0,-0.008287605240232846
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,-0.008287605240232846
EX_h(e),7.223441298598791,0.0
EX_h2o(e),-3.9537621654546884,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.015115146239242771,0.0
EX_ile_L(e),-0.02796836400854762,0.0
EX_inost(e),4.811077324287419e-35,0.0
EX_isetac(e),0.0,0.0
EX_k(e),-6.113867802797756e-08,0.0
EX_lac_D(e),0.0,-1.3353478896810131e-06
EX_lac_L(e),0.0,-0.0041504241519474865
EX_lcts(e),-0.07449289,-0.06638911664375155
EX_leu_L(e),-0.04645516769726321,0.0
EX_lys_L(e),-0.024623908899560055,0.0
EX_mal_L(e),0.0,-0.01659721397136632
EX_malt(e),-0.07449289,-0.06638828644061945
EX_malthx(e),0.0,-0.1991686731199833
EX_malttr(e),0.0,-0.09958285523439644
EX_man(e),-0.14898579,-0.03319499246323251
EX_melib(e),0.0,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metala(e),4.266278879875501e-23,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.010818442884760457,0.0
EX_mg2(e),-0.000534802869415702,0.0
EX_mn2(e),-7.184941186305577e-09,0.0
EX_mnl(e),-0.14898579,-0.016597944567183002
EX_mops(e),0.0,0.0
EX_mso3(e),0.0,0.0
EX_na1(e),0.0,0.0
EX_nac(e),-0.0005502715018767284,0.0
EX_nh4(e),2.9581753097991386,0.0
EX_no3(e),0.0,0.0
EX_o2(e),0.0,-0.049798819432196786
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.022793599958619605,0.0
EX_pi(e),0.0,0.0
EX_pnto_R(e),-0.0005502715018767284,0.0
EX_pro_L(e),0.0,0.0
EX_ptrc(e),0.0,0.0
EX_pydx(e),-0.0005502715018767284,0.0
EX_rib_D(e),-0.17878295,-0.016595268345616747
EX_ribflv(e),-0.001100638475438434,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_ser_D(e),0.0,0.0
EX_ser_L(e),-1.0,-0.01659629367193721
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,0.0
EX_succ(e),0.47029013011392357,0.0
EX_sucr(e),-0.07449289,-0.06638918907390393
EX_sulfac(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_thm(e),0.0,0.0
EX_thr_L(e),-0.030720628366162062,0.0
EX_tre(e),-0.07449289,-0.06638840391949243
EX_trp_L(e),-0.006112848704558444,0.0
EX_tyr_L(e),-0.02387022570328792,0.0
EX_ura(e),-0.01378251149183182,0.0
EX_urea(e),0.0,0.0
EX_val_L(e),-0.025023987331321447,0.0
EX_xan(e),-0.014437873267271096,0.0
EX_xyl_D(e),0.0,0.0
EX_zn2(e),-1.5020430773532488e-07,0.0
translation_525337.3.peg.8,5.189753258924131e-07,2.63487609928798e-32
transcription_TU_525337.3.peg.8,2.046896637315677e-08,-5.089175023444193e-33
translation_525337.3.peg.10,3.757320244639788e-12,-6.230894137214827e-33
transcription_TU_525337.3.peg.10,1.4819290610485902e-13,-2.3559523000488138e-32
translation_525337.3.peg.11,0.0,1.0844159119437628e-32
transcription_TU_525337.3.peg.11,0.0,-3.68450806650836e-33
translation_525337.3.peg.12,2.989605462291661e-09,4.393869946693049e-32
transcription_TU_525337.3.peg.12,1.179133778112213e-10,-4.368260819974406e-32
translation_525337.3.peg.13,0.0,2.0773859309621348e-33
transcription_TU_525337.3.peg.13,0.0,-124.0025292053443
translation_525337.3.peg.14,3.3794238847285717e-37,5.396260618273922e-33
transcription_TU_525337.3.peg.14,0.0,-52.63517626303401
translation_525337.3.peg.15,0.0,2.0625642652549367e-32
transcription_TU_525337.3.peg.15,0.0,-142.2792553674105
translation_525337.3.peg.16,0.0,-1.2269231012440103e-32
transcription_TU_525337.3.peg.16,0.0,-414.501667954256
translation_525337.3.peg.17,0.0,-1.2618646273019443e-32
transcription_TU_525337.3.peg.17,0.0,-115.17742849043084
translation_525337.3.peg.18,0.0,-1.6005628440859143e-32
transcription_TU_525337.3.peg.18,0.0,-93.7958096817113
translation_525337.3.peg.19,0.0,-5.341528075504918e-33
transcription_TU_525337.3.peg.19,0.0,-84.79633844963072
translation_525337.3.peg.21,1.175703960176415e-37,4.6099226796897826e-32
