,fluxes,reduced_costs
biomass_dilution,0.16840824630048962,-0.899481934233406
protein_biomass_to_biomass,0.07994076402861709,4.496228440933072e-34
mRNA_biomass_to_biomass,0.00028991260265972754,1.1298383978732229e-34
tRNA_biomass_to_biomass,0.00176887224106357,0.0
rRNA_biomass_to_biomass,0.012746926262603809,9.534542948341295e-35
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.009936507808187516,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.01871984088986441,0.0
prosthetic_group_biomass_to_biomass,3.8742701396374496e-05,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_AMOB,0.0,0.0
DM_atp_c_,0.0,-0.0214541165225914
DM_dad_5,0.0,-0.6435427505490352
EX_4hbz(e),0.0,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),5.336268682723115,0.0
EX_acald(e),0.0,-0.010725376261815845
EX_adocbl(e),-4.1116330071962016e-11,0.0
EX_akg(e),0.0,-0.026810322221474208
EX_ala_D(e),-1.0,-0.010715527073839463
EX_ala_L(e),-1.0,-0.010715074517247293
EX_alaasp(e),0.0,-0.016063128844163967
EX_alagln(e),0.0,-0.016060795984091686
EX_alaglu(e),0.0,-0.01606292325286691
EX_alagly(e),0.0,-0.010700831157727088
EX_alahis(e),3.3123088200046376e-23,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,-0.021432132531154748
EX_asn_L(e),-0.225,-0.016072822660912433
EX_asp_L(e),-0.225,-0.01607647348407703
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_butso3(e),0.0,0.0
EX_ca2(e),0.0,0.0
EX_cbl1(e),0.0,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.08060588475724925
EX_cgly(e),0.0,0.0
EX_chol(e),0.0,0.0
EX_cit(e),0.0,0.0
EX_cl(e),0.0,0.0
EX_co2(e),2.51526487831626,0.0
EX_cobalt2(e),-0.0013151717205350116,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.008298191626048732,0.0
EX_drib(e),-0.17878295,-0.02143290894745536
EX_ethso3(e),0.0,0.0
EX_etoh(e),3.5139166920498996,0.0
EX_fe2(e),-6.300891289810071e-09,0.0
EX_fe3(e),0.0,0.0
EX_fecrm(e),0.0,0.0
EX_for(e),8.44057417268895,0.0
EX_fru(e),-0.14898579,-0.06433012977360311
EX_fum(e),-1.0,-0.01607882505469028
EX_gal(e),0.0,0.0
EX_glc_D(e),0.0,0.0
EX_gln_L(e),0.0,0.0
EX_glu_L(e),-0.18,-0.01607614914238996
EX_gly(e),-0.45,-0.010713380332364993
EX_glyasn(e),0.0,-0.01605843652382669
EX_glyasp(e),0.0,-0.016062087346991286
EX_glyc(e),-2.69948229,-0.021434873807822715
EX_glyc3p(e),-1.0,-0.04288836000224671
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,-0.016059754486919008
EX_glyglu(e),0.0,-0.01606188175569423
EX_glyleu(e),0.0,-0.016076719027963194
EX_glymet(e),0.0,-0.005350320720593968
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,-0.010705895567488487
EX_h(e),8.437572878779344,0.0
EX_h2(e),0.0,0.0
EX_h2o(e),-5.7496328116455535,0.0
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.03247060746714578,0.0
EX_hxan(e),-0.024555379918166514,0.0
EX_ile_L(e),-0.09422352404316119,0.0
EX_ind3ac(e),0.0,0.0
EX_isetac(e),0.0,0.0
EX_isoprene(e),0.0,-0.10726137427000611
EX_k(e),-5.0801887994991575e-09,0.0
EX_lac_D(e),0.0,-0.010721699275410964
EX_lac_L(e),0.0,-0.0107209010875316
EX_leu_L(e),-0.0860673017232039,0.0
EX_lys_L(e),-0.07598677208836009,0.0
EX_mal_L(e),0.0,-0.0160804335264313
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metala(e),0.0,-0.0053513622177666495
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.03490432231889186,0.0
EX_mg2(e),-0.0015026718038266805,0.0
EX_mn2(e),-4.800480093312917e-06,0.0
EX_mops(e),0.0,0.0
EX_mso3(e),0.0,0.0
EX_n2o(e),0.0,0.0
EX_na1(e),0.0,0.0
EX_nac(e),0.998684828279465,0.0
EX_nh4(e),4.759882207724247,0.0
EX_nmn(e),-1.0,-0.08041849041984594
EX_no(e),0.0,-0.005361234409377007
EX_no2(e),1.0,0.0
EX_no3(e),-1.0,-0.021448701212329762
EX_o2(e),0.0,-0.042907661592581615
EX_oaa(e),0.0,-0.02680793969336973
EX_orn(e),-1.0,-0.005358848257830541
EX_pb(e),0.0,0.0
EX_phe_L(e),0.9069871757310551,0.0
EX_pi(e),0.0,0.0
EX_pime(e),0.0,0.0
EX_ppa(e),1.7319243227260739,0.0
EX_ppi(e),0.9397500784726864,0.0
EX_pro_L(e),-0.034363073610111934,0.0
EX_ptrc(e),0.9569810513112516,0.0
EX_pydx(e),-0.0013159951156490588,0.0
EX_pyr(e),0.0,-0.02144723906675735
EX_rib_D(e),-0.17878295,-0.03214914043232796
EX_ser_D(e),0.0,0.0
EX_ser_L(e),-1.0,-0.02144438868749601
EX_so4(e),0.0,0.0
EX_succ(e),0.0,-0.0053569232650640935
EX_sulfac(e),0.0,0.0
EX_taur(e),0.0,0.0
EX_thr_L(e),-0.225,-0.02144599593945953
EX_tyr_L(e),-1.0,-0.010720800472965952
EX_ura(e),-0.04288518538002927,0.0
EX_urea(e),0.0,0.0
EX_val_L(e),-0.078281540552515,0.0
EX_xan(e),-0.019263215578972693,0.0
EX_zn2(e),-3.536628258762333e-07,0.0
translation_450749.3.peg.3,1.2936587804177136e-08,-4.3809315694831196e-32
transcription_TU_450749.3.peg.3,2.608463340944878e-10,3.647547427763739e-34
translation_450749.3.peg.4,1.2936587804177136e-08,5.024952717722151e-32
transcription_TU_450749.3.peg.4,2.608463340944878e-10,-4.35743118962989e-32
translation_450749.3.peg.6,0.0,9.467179321702594e-33
transcription_TU_450749.3.peg.6,0.0,-124.84767564913746
translation_450749.3.peg.7,0.0,-1.9230565170136122e-32
transcription_TU_450749.3.peg.7,0.0,-256.3200976762142
translation_450749.3.peg.8,6.942950152476265e-08,3.9983599625462185e-33
transcription_TU_450749.3.peg.8,1.3999387802163919e-09,-2.673584852274143e-32
translation_450749.3.peg.10,8.8325299084403e-07,-5.651009199525483e-33
transcription_TU_450749.3.peg.10,1.7809433849725427e-08,4.334101439107526e-33
translation_450749.3.peg.11,8.933917708591807e-09,-1.7717703799501135e-32
transcription_TU_450749.3.peg.11,1.8013866706300528e-10,-7.734240368212192e-33
translation_450749.3.peg.15,6.255539022509482e-12,3.9064773568231804e-32
transcription_TU_450749.3.peg.15,1.2613329314548755e-13,1.254436739050042e-33
translation_450749.3.peg.16,4.884588902723667e-08,6.150824552288438e-32
transcription_TU_450749.3.peg.16,9.84901991252035e-10,-5.039716150719397e-32
translation_450749.3.peg.22,2.53538177624563e-08,1.8924274267113666e-32
transcription_TU_450749.3.peg.22,5.112206185081508e-10,-2.5048469088476143e-32
translation_450749.3.peg.26,1.2511078045018978e-11,-1.472406724267042e-32
transcription_TU_450749.3.peg.26,2.522665862909754e-13,1.8229341622738902e-32
translation_450749.3.peg.27,0.0,1.2535905780880436e-31
transcription_TU_450749.3.peg.27,0.0,9.584564004249136e-33
translation_450749.3.peg.28,3.2149344901323705e-09,1.6370767506757598e-31
transcription_TU_450749.3.peg.28,6.482419389092545e-11,-3.928950048214697e-33
translation_450749.3.peg.32,2.3105856822101054e-15,4.366823544551607e-32
transcription_TU_450749.3.peg.32,4.658939543711108e-17,-9.665391680913281e-33
translation_450749.3.peg.35,0.0,3.1081337502870704e-34
transcription_TU_450749.3.peg.35,0.0,-400.4191009506777
translation_450749.3.peg.48,0.0,-4.591568251096405e-32
transcription_TU_450749.3.peg.48,0.0,-2.8567121687503287e-32
translation_450749.3.peg.50,0.0,3.671620383737505e-32
transcription_TU_450749.3.peg.50,0.0,-2.0406315899922355e-33
translation_450749.3.peg.51,0.0,2.4660088840836433e-33
transcription_TU_450749.3.peg.51,0.0,-5.227029970863793e-33
translation_450749.3.peg.52,2.8772616758016742e-39,9.8091690417303e-33
transcription_TU_450749.3.peg.52,5.879397780302911e-41,-3.326029282826304e-32
translation_450749.3.peg.56,0.0,-5.073757981709224e-32
transcription_TU_450749.3.peg.56,0.0,-1.4908691945379884e-32
translation_450749.3.peg.58,-5.159327493130157e-29,-1.9199447668949827e-32
transcription_TU_450749.3.peg.58,-1.040298787560586e-30,5.071019446309681e-32
translation_450749.3.peg.59,0.0,2.608870940854872e-32
transcription_TU_450749.3.peg.59,0.0,-4.3495286391613824e-32
translation_450749.3.peg.63,0.0,1.2966123364582347e-32
transcription_TU_450749.3.peg.63,0.0,-9.625290456469871e-33
translation_450749.3.peg.64,0.0,9.384869838542869e-32
transcription_TU_450749.3.peg.64,0.0,-2.5071820818064023e-34
translation_450749.3.peg.65,0.0,2.2066485087428425e-32
transcription_TU_450749.3.peg.65,0.0,-5.4536133478816565e-33
translation_450749.3.peg.66,0.0,2.7447689651703767e-32
transcription_TU_450749.3.peg.66,0.0,2.3887392291696418e-32
translation_450749.3.peg.67,0.0,1.1681119012083988e-32
transcription_TU_450749.3.peg.67,0.0,1.1348200223309969e-32
translation_450749.3.peg.75,0.0,-2.0856100200830595e-32
transcription_TU_450749.3.peg.75,0.0,-5.257229131581491e-32
translation_450749.3.peg.83,0.0,2.6167572099289034e-32
transcription_TU_450749.3.peg.83,0.0,-1.4989229521212233e-32
translation_450749.3.peg.85,7.3900599990171e-09,-1.7383530972840756e-32
transcription_TU_450749.3.peg.85,1.4900915826192537e-10,-4.016137611459266e-32
translation_450749.3.peg.87,0.0,-1.987915150024828e-34
transcription_TU_450749.3.peg.87,0.0,-4.327794454165204e-32
translation_450749.3.peg.93,8.692019941954398e-06,1.8955759053881155e-33
