,maximum,minimum
EX_12ppd_S(e),0.14898579,0.1489832554095091
EX_2obut(e),-0.16287807956951333,-0.16289270271447803
EX_Tyr_ggn(e),0.0,0.0
EX_ac(e),7.076774330780987,7.0767260639854035
EX_acgam(e),-0.9999988558729388,-1.0
EX_adn(e),3.182577899242072e-07,-0.002234061833694688
EX_adocbl(e),3.0784943595020593e-23,-6.366136911588868e-14
EX_amylopect900(e),-1.566872910794406e-05,-1.567e-05
EX_amylose300(e),-4.701582730044809e-05,-4.702e-05
EX_arg_L(e),-0.08778388172197624,-0.08778766757499987
EX_asn_L(e),-0.22499626725475008,-0.225
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,-4.417348965586498e-06
EX_ca2(e),0.0,-3.1221604507208062e-06
EX_cbl1(e),0.0,-6.366135640592946e-14
EX_cbl2(e),0.0,0.0
EX_cd2(e),3.820911040478119e-30,0.0
EX_chtbs(e),9.853323562226362e-24,0.0
EX_cit(e),8.780252781263436e-24,-1.0086310245144897e-23
EX_cl(e),3.210395459264587e-29,-1.358662872001547e-29
EX_co2(e),1.0083810176739383,0.9969075725487485
EX_cobalt2(e),-0.0025540693857735637,-0.0025544363883018865
EX_cro4(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cytd(e),1.9623488885414295e-06,0.0
EX_dad_2(e),0.0022340618336946874,-2.0186407988799962e-22
EX_dcyt(e),-0.013549689908613795,-0.013593491274239613
EX_ddca(e),-0.04756260274850967,-0.04756542106598063
EX_dgsn(e),2.9503465466463895e-23,-0.002234061833694688
EX_din(e),2.9503465466463895e-23,0.0
EX_duri(e),0.0,0.0
EX_fe2(e),-1.2586637645533168e-07,-2.992684081232251e-07
EX_fe3(e),0.0,-5.043155122572448e-24
EX_for(e),6.09474951863873,6.083275469178816
EX_fru(e),-0.14898456718200578,-0.14898579
EX_galt(e),0.0,0.0
EX_galur(e),1.4765704726416482e-06,0.0
EX_gam(e),-0.9999987769987639,-1.0
EX_gcald(e),1.0425517527277803e-07,0.0
EX_glc_D(e),-0.14898424668971894,-0.14898579
EX_glcur(e),6.602109726920234e-23,0.0
EX_gly(e),-0.44999051349909414,-0.45
EX_glyc3p(e),-0.999998458910369,-1.0
EX_glygn2(e),3.090059911777344e-24,0.0
EX_glygn4(e),3.090059911777344e-24,0.0
EX_glygn5(e),3.090059911777344e-24,0.0
EX_glymet(e),0.0,0.0
EX_gsn(e),0.0022340618336946874,0.0
EX_h(e),18.060810951743154,18.049337380573007
EX_h2(e),0.6523402854171011,0.6408662101257401
EX_h2o(e),-3.143963132728845,-3.1440424988055358
EX_hdca(e),2.3557308597469395e-06,-2.355139529675802e-06
EX_hg2(e),0.0,0.0
EX_indole(e),0.06054976075684836,0.06054488777941741
EX_ins(e),3.4975470578020526e-07,0.0
EX_inulin(e),-0.0004701515447376164,-0.00047019
EX_isobut(e),2.834649349288995e-06,0.0
EX_isocapr(e),1.0031245968182423e-06,-1.6432684592725238e-40
EX_isoval(e),5.015622984091212e-07,0.0
EX_k(e),-2.1796722137799703e-06,-2.4202542336207827e-06
EX_kestopt(e),-0.002820914836132527,-0.00282117
EX_lac_D(e),4.7271948174049076e-06,0.0
EX_lcts(e),-0.07449223297813198,-0.07449289
EX_leu_L(e),-0.14999849491638906,-0.15
EX_lys_L(e),-0.12936904433873675,-0.12937422944366472
EX_malt(e),-0.07449231810497267,-0.07449289
EX_malttr(e),3.812675971940551e-07,0.0
EX_man(e),-0.1489842467860561,-0.14898579
EX_mantr(e),9.853323562226362e-24,0.0
EX_meoh(e),0.019587459363080824,0.019552387610795
EX_met_L(e),-0.07713731128651069,-0.07714436450554683
EX_mg2(e),-0.0034640191984527235,-0.0034682059334238857
EX_mn2(e),-1.7988832921722917e-05,-2.2319723613850034e-05
EX_na1(e),2.2958331952024916e-27,-7.008554503520196e-08
EX_nac(e),-0.00255338384697882,-0.002554285932116596
EX_nh4(e),3.1637955990801876,3.1637518015624724
EX_o2(e),5.1954637595485786e-08,0.0
EX_ocdca(e),2.3551230725749265e-06,-4.721894556010979e-09
EX_pac(e),0.9109158129811653,0.9109099741397868
EX_pb(e),0.0,0.0
EX_pect(e),-3.338621392128555e-05,-3.339e-05
EX_phe_L(e),-0.9999952741068548,-1.0
EX_pheme(e),1.1487108276976086e-41,-4.417348965586498e-06
EX_pi(e),0.758690473187417,0.7586801232638472
EX_ppa(e),6.369507837939004,6.369455398745077
EX_ppi(e),4.4221753032970406e-06,0.0
EX_ptrc(e),0.0,-5.359172713461622e-24
EX_rmn(e),-0.1489832554095091,-0.14898579
EX_ser_L(e),-0.9999955692814816,-1.0
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,-1.9218924151507527e-22
EX_strch1(e),-0.25733895807583446,-0.25733909
EX_strch2(e),4.1727692349693967e-07,0.0
EX_stys(e),9.853323562226362e-24,0.0
EX_succ(e),1.786794776484884e-05,0.0
EX_sucr(e),-0.0744922989975297,-0.07449289
EX_thr_L(e),-0.22499684397055975,-0.225
EX_thymd(e),-0.015897460658947024,-0.01591764885608731
EX_trp_L(e),-0.08181463675277632,-0.08181818
EX_ttdca(e),-0.00951023226407764,-0.009514946904352324
EX_urea(e),1.2613790425936863e-06,0.0
EX_uri(e),-0.05825859673220535,-0.058283813909690306
EX_val_L(e),-0.17999763679927142,-0.18
EX_xan(e),-0.041352121163848954,-0.041357032953590826
EX_xyl_D(e),-0.17878157739673992,-0.17878295
EX_zn2(e),-7.243242605930805e-07,-9.18936054234164e-07
