,maximum,minimum
EX_15dap(e),3.2757116586887814e-07,0.0
EX_2ddglcn(e),5.010744977362733e-23,0.0
EX_2hyoxplac(e),3.4221643808833736e-08,0.0
EX_4abut(e),1.4514764919459269,1.4514610317492538
EX_4hbz(e),1.8132774873953044e-07,-7.853361613229539e-23
EX_7dhcdchol(e),3.8472959039755596e-24,0.0
EX_7ocholate(e),5.0622120985648274e-24,0.0
EX_C02528(e),0.0,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),16.749357227417704,16.749324805040896
EX_acac(e),1.2709608504731304e-06,0.0
EX_acald(e),1.765438276078686e-06,0.0
EX_acgam(e),-0.9999996541996599,-1.0
EX_adn(e),-0.9999969580290902,-1.0
EX_adocbl(e),2.560078126282571e-24,-4.574659148756948e-09
EX_akg(e),8.298751874010124e-07,0.0
EX_ala_D(e),-0.9999982237209555,-1.0
EX_ala_L(e),-0.9999982248774744,-1.0
EX_alaasp(e),3.386254902522315e-23,0.0
EX_alagln(e),3.371490310904448e-23,0.0
EX_alaglu(e),3.4284786666520437e-23,0.0
EX_alagly(e),3.38065054891926e-23,0.0
EX_alahis(e),3.3047232090981967e-23,0.0
EX_alaleu(e),3.4229863620892627e-23,0.0
EX_alathr(e),3.3418748061567485e-23,0.0
EX_alltn(e),3.355916658062873e-24,0.0
EX_arab_L(e),-0.1787824620929302,-0.17878295
EX_arbt(e),1.072430696506329e-23,0.0
EX_arg_L(e),-0.149994849524114,-0.15
EX_asn_L(e),-0.22499935270444352,-0.225
EX_asp_L(e),-0.22499935323094683,-0.225
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,-1.2687286206109044e-06
EX_but(e),5.396472074824653e-23,0.0
EX_butso3(e),0.0,-2.2858669983411972e-24
EX_ca2(e),9.079070641110257e-30,-7.381685129066462e-06
EX_cbl1(e),9.529920812824675e-44,-4.530192546725474e-09
EX_cbl2(e),0.0,0.0
EX_cd2(e),-2.7946381782103866e-27,-2.2009015443282638e-24
EX_cellb(e),-0.07449272820765374,-0.07449289
EX_cgly(e),-0.9999985032680355,-1.0
EX_chol(e),2.6340536903079167e-57,-1.8187370763884675e-23
EX_cholate(e),0.0,0.0
EX_cit(e),-0.9999996363988092,-1.0
EX_cl(e),0.0,0.0
EX_co2(e),4.021447442481321,3.019968607997492
EX_cobalt2(e),-0.004093369006298172,-0.004094796202276664
EX_crn(e),1.864897423857008e-23,0.0
EX_csn(e),0.0,-3.522775527422392e-07
EX_ctbt(e),1.864897423857008e-23,0.0
EX_cu2(e),7.6243726723711e-31,-2.4205974456521166e-08
EX_cys_L(e),-0.9999987231345321,-1.0
EX_cytd(e),5.639056814460846e-07,0.0
EX_dad_2(e),1.0008076476311687,1.0007994440582813
EX_dcyt(e),6.435377291417082e-07,-7.459442187253833e-06
EX_ddca(e),1.5025228885510377e-07,-8.801531202093541e-07
EX_dgsn(e),-0.15595168107775556,-0.15596357724166565
EX_din(e),0.0,0.0
EX_dms(e),0.0,0.0
EX_dmso(e),0.0,0.0
