,fluxes,reduced_costs
biomass_dilution,0.38607399690546074,-0.48371838601817285
protein_biomass_to_biomass,0.18095712042260917,-9.468460130678574e-35
mRNA_biomass_to_biomass,0.0009235112361597359,-6.88761445733375e-35
tRNA_biomass_to_biomass,0.005610122555566281,0.0
rRNA_biomass_to_biomass,0.033411801580582726,0.0
ncRNA_biomass_to_biomass,0.0,0.0
tmRNA_biomass_to_biomass,0.0,0.0
DNA_biomass_to_biomass,0.020340322823274425,0.0
lipid_biomass_to_biomass,0.0,0.0
constituent_biomass_to_biomass,0.04291502318056748,0.0
prosthetic_group_biomass_to_biomass,0.00012771486898325706,-6.876488077581993e-35
peptidoglycan_biomass_to_biomass,0.0,0.0
DM_5DRIB,0.0,-0.07029756362128992
DM_AMOB,-3.6844177818058347e-56,0.0
DM_atp_c_,0.0,-0.0124806201286138
DM_btn,-4.676669767442209e-56,0.0
DM_clpn140(c),0.0,-0.20713541923199905
DM_clpn160(c),0.0,-0.032376421105398207
DM_clpn180(c),0.0,-0.032376421105398207
DM_clpni16(c),0.0,0.0
DM_dad_5,0.0,-0.0384845594099313
DM_dhptd(c),0.0005501746502649642,0.0
DM_kdo2lipid4L(c),0.0,0.0
EX_15dap(e),0.0,-4.251662859982223e-08
EX_34dhpha(e),0.0,0.0
EX_4abut(e),0.0,-0.007470607467628842
EX_4hbz(e),0.0,0.0
EX_ac(e),15.197386640443035,0.0
EX_acac(e),0.0,-0.0099859619026429
EX_acald(e),0.0,-0.0049918254711642605
EX_acgam(e),-1.0,-0.033022026869790624
EX_adn(e),-1.0,-0.006624895557169614
EX_adocbl(e),-3.1532161449115086e-10,0.0
EX_akg(e),0.0,-0.018079534570169833
EX_ala_D(e),-1.0,-0.0024780990944611968
EX_ala_L(e),-1.0,-0.0024794139944568482
EX_alaasp(e),0.0,-0.011818630570824648
EX_alagln(e),0.0,-0.0018361267351133393
EX_alaglu(e),0.0,-0.0043333507078845
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,-0.011225803062329742
EX_alathr(e),0.0,-0.003709337731204764
EX_arab_L(e),0.0,0.0
EX_arg_L(e),-0.15,-0.050103657923434616
EX_asn_L(e),-0.225,-0.015574108824590056
EX_asp_L(e),-0.225,-0.018073135338300156
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_but(e),0.0,0.0
EX_ca2(e),1.556232045689993e-28,0.0
EX_cbl1(e),-2.7249932252884685e-39,0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,-0.0394814999972103
EX_cellb(e),0.0,0.0
EX_cgly(e),-1.0,-0.0037058240487104262
EX_chol(e),0.0,0.0
EX_cit(e),-1.0,-0.04115596844017031
EX_cl(e),-5.94582041257048e-29,0.0
EX_co2(e),3.43326002560351,0.0
EX_cobalt2(e),-0.003016153150592276,0.0
EX_crn(e),0.0,-0.007486686325489469
EX_csn(e),-2.2272673980158023e-51,0.0
EX_ctbt(e),0.0,-0.004995196106386421
EX_cu2(e),0.0,0.0
EX_cys_L(e),-1.0,-0.007472456836589153
EX_cytd(e),0.0,-0.025589634203751557
EX_dad_2(e),1.000550174650265,0.0
EX_dcyt(e),-2.0610758972309302e-56,0.0
EX_ddca(e),-1.841781037578285e-55,0.0
EX_dgsn(e),-0.10671257031336409,0.0
EX_din(e),0.0,0.0
EX_dms(e),0.0,0.0
EX_dmso(e),0.0,-0.007484028223297389
EX_drib(e),-0.17878295,-0.009960654699829772
EX_duri(e),0.0,0.0
EX_etoh(e),0.5542394472600544,0.0
EX_fe2(e),-3.830745477716508e-06,0.0
EX_fe3(e),4.211282158392333e-29,0.0
EX_for(e),14.04719034328639,0.0
EX_fru(e),-0.14898579,-0.03490058995532959
EX_fum(e),-1.0,-0.018073804572749715
EX_gal(e),-0.14898579,-0.028649342252482078
EX_galct_D(e),0.0,0.0
EX_galur(e),0.0,-0.03491573817386621
EX_gbbtn(e),0.0,0.0
EX_gcald(e),0.0,-0.04970226724274896
EX_glc_D(e),0.0,-0.044253765201333006
EX_glcr(e),0.0,0.0
EX_glcur(e),0.0,-0.03491673533273474
EX_gln_L(e),0.0,0.0
EX_glu_L(e),-0.18,-0.010587832264077952
EX_gly(e),-0.45,-0.004970033785356408
EX_glyasn(e),0.0,-0.01180747603671133
EX_glyasp(e),0.0,-0.014306498936398205
EX_glyc(e),-1.79965486,-0.01245031310791526
EX_glyc3p(e),-1.0,-0.023687238455486773
EX_glycys(e),0.0,-0.0037058240487104262
EX_glygln(e),0.0,-0.004323995100686896
EX_glyglu(e),0.0,-0.0068195524262376316
EX_glyleu(e),0.0,-0.023074659163193127
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,-0.003708800077632985
EX_gsn(e),0.0,-0.006638053100821836
EX_h(e),12.122085305103301,0.0
EX_h2(e),-1.0,-0.0012431394968865916
EX_h2o(e),-10.0,-0.002492510711967059
EX_h2s(e),1.9721841427297446,0.0
EX_hdca(e),3.3858585856362336e-56,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.07496319810336965,0.0
EX_hxan(e),-1.2027875403618178e-34,0.0
EX_ile_L(e),0.010197816713240044,0.0
EX_indole(e),0.02981258344268949,0.0
EX_ins(e),-2.0610758972309302e-56,0.0
EX_k(e),-3.944519433238321e-06,0.0
EX_lac_D(e),0.0,-0.004984634871565277
EX_lac_L(e),0.0,-0.008100815863956064
EX_leu_L(e),-0.15,-0.017479936197162278
EX_lys_L(e),-0.10504796795950798,0.0
EX_mal_L(e),0.0,-0.020571139140282774
EX_malt(e),-0.07449289,-0.07977822265617729
EX_malthx(e),0.0,-0.07728570880902245
EX_malttr(e),0.0,0.0
EX_man(e),-0.14898579,-0.0349001378341981
EX_mantr(e),0.0,-0.09968271161056512
EX_met_D(e),0.0,0.0
EX_met_L(e),0.0,0.0
EX_metala(e),0.0,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.11253654801682668,0.0
EX_mg2(e),-0.004735390482311094,0.0
EX_mn2(e),-2.5300329766901735e-05,0.0
EX_na1(e),-1.0,-0.0031181584867661857
EX_nac(e),0.9969842657036485,0.0
EX_ncam(e),0.0,0.0
EX_nh4(e),9.336707343810916,0.0
EX_ni2(e),-3.833306833991946e-40,0.0
EX_nmn(e),-1.0,-0.06339573488288115
EX_no2(e),-1.0,-0.023077592942829423
EX_no3(e),-1.0,-0.036802388448349425
EX_o2(e),0.0,-0.027450517202350234
EX_ocdca(e),0.0,0.0
EX_orn(e),-1.0,-0.0031172320758867944
EX_oxa(e),0.0,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),0.8475962291119666,0.0
EX_pi(e),-1.0,-0.0012445804796961386
EX_pnto_R(e),-0.003015006271433505,0.0
EX_ppi(e),1.3565003055923237,0.0
EX_pppn(e),0.0,0.0
EX_pro_L(e),-0.11927930208692446,0.0
EX_ptrc(e),1.0,0.0
EX_pydam(e),0.0,0.0
EX_pydx(e),-0.003018982648554808,0.0
EX_pydxn(e),1.7709452700640172e-57,0.0
EX_rib_D(e),-0.17878295,-0.016595769398383534
EX_ser_D(e),0.0,-0.009972774609295413
EX_ser_L(e),-1.0,-0.009970323817022599
EX_so3(e),0.0,-0.028697092179118908
EX_so4(e),3.7153463820980306e-57,0.0
EX_spmd(e),0.0,0.0
EX_succ(e),0.0,-0.013081531777051032
EX_tet(e),0.0,-0.06612947210558086
EX_thm(e),-9.743750022169282e-07,0.0
EX_thr_L(e),-0.225,-0.009965069860270535
EX_thymd(e),0.0,0.0
EX_tma(e),0.0,0.0
EX_tmao(e),0.0,-0.007484834354567112
EX_trp_L(e),-0.08181818,-0.010594001701136316
EX_tsul(e),0.0,-0.03368860969044924
EX_ttdca(e),3.3858585856362336e-56,0.0
EX_tyr_L(e),-1.0,-0.007476128284365846
EX_ura(e),6.342978175299208e-35,0.0
EX_urea(e),0.0,-0.04948638058572229
EX_uri(e),-0.10333819420761994,0.0
EX_val_L(e),0.3411976774712736,0.0
EX_xan(e),0.0,0.0
EX_xyl_D(e),0.0,0.0
EX_zn2(e),-1.67360259983744e-06,-0.7310977003214705
translation_500638.3.peg.1,-7.635056895757801e-29,6.033069979083597e-33
transcription_TU_500638.3.peg.1,1.331335854849274e-39,-3.564553440502392e-32
translation_500638.3.peg.2,0.0,3.90004420996611e-32
transcription_TU_500638.3.peg.2,0.0,-58.0357294677902
translation_500638.3.peg.7,0.0,-4.9398052535344714e-33
transcription_TU_500638.3.peg.7,0.0,-48.49308222192374
translation_500638.3.peg.9,2.0733891167924257e-29,-1.5997447382158526e-32
transcription_TU_500638.3.peg.9,0.0,-86.82685042155713
translation_500638.3.peg.10,8.003304583417632e-07,-2.1380030020019607e-32
transcription_TU_500638.3.peg.10,9.950660462191634e-09,1.3578277125802001e-31
translation_500638.3.peg.11,8.003304583417632e-07,-4.655333312304609e-33
transcription_TU_500638.3.peg.11,9.950660462191634e-09,-8.459318186554688e-32
translation_500638.3.peg.12,5.501796925355404e-05,-4.02036743002348e-34
transcription_TU_500638.3.peg.12,6.840488521400648e-07,9.424599549687065e-33
translation_500638.3.peg.13,2.750873251324821e-05,-7.31295945064227e-34
transcription_TU_500638.3.peg.13,3.420212914946868e-07,-8.815959114602729e-34
translation_500638.3.peg.14,2.7509236740305826e-05,7.245722220432234e-34
transcription_TU_500638.3.peg.14,3.420275606453781e-07,-2.9900662487828985e-33
translation_500638.3.peg.15,2.750873251324821e-05,-2.925686703770588e-33
transcription_TU_500638.3.peg.15,3.420212914946868e-07,1.5000117060912178e-33
translation_500638.3.peg.16,8.657778780599647e-10,-1.5484475509223336e-32
transcription_TU_500638.3.peg.16,1.0764380651089242e-11,1.7571790033280328e-32
translation_500638.3.peg.20,5.549287256105988e-09,3.8608520199885125e-34
transcription_TU_500638.3.peg.20,6.899534150816697e-11,2.577215556125854e-32
translation_500638.3.peg.21,-1.371821092167578e-29,1.326260776171224e-33
transcription_TU_500638.3.peg.21,0.0,-43.62874668460525
translation_500638.3.peg.22,0.0,-2.0377734901279346e-33
transcription_TU_500638.3.peg.22,0.0,-39.46703351757904
translation_500638.3.peg.32,0.0,-3.9571540437608893e-32
transcription_TU_500638.3.peg.32,0.0,-62.077238961038226
translation_500638.3.peg.38,0.0,1.5580772571990955e-32
transcription_TU_500638.3.peg.38,0.0,-2.736399307615853e-32
translation_500638.3.peg.46,1.2750359062520012e-09,2.967936062242985e-32
transcription_TU_500638.3.peg.46,1.5852763377897803e-11,-1.4325619693125375e-34
translation_500638.3.peg.47,2.1709744748012445e-06,7.176143094566066e-32
transcription_TU_500638.3.peg.47,2.6992137617242942e-08,-9.003066182358021e-32
translation_500638.3.peg.48,6.183599547741817e-60,-5.2650339110786086e-33
transcription_TU_500638.3.peg.48,0.0,5.389299150508665e-33
translation_500638.3.peg.49,9.429407175002181e-29,8.067631696195545e-33
transcription_TU_500638.3.peg.49,0.0,7.495669575556335e-33
translation_500638.3.peg.50,-1.6701114844969164e-28,-1.7253828050195494e-33
transcription_TU_500638.3.peg.50,0.0,-3.1609590131256365e-32
translation_500638.3.peg.51,0.0,-3.2429170976393653e-32
transcription_TU_500638.3.peg.51,0.0,-4.0776896365326993e-32
translation_500638.3.peg.52,0.0,-1.135081407918635e-33
transcription_TU_500638.3.peg.52,0.0,-62.573702791440624
translation_500638.3.peg.53,1.0067669468114025e-29,8.775673106452523e-33
transcription_TU_500638.3.peg.53,0.0,-65.30573244719999
translation_500638.3.peg.56,0.0,-3.210303512090649e-32
transcription_TU_500638.3.peg.56,0.0,1.2919193447966688e-32
translation_500638.3.peg.61,0.0,-2.1253850649774747e-32
transcription_TU_500638.3.peg.61,0.0,-32.41280366366504
translation_500638.3.peg.63,0.0,-2.958630996571937e-32
transcription_TU_500638.3.peg.63,-6.604272621276627e-60,6.017704838514906e-32
translation_500638.3.peg.64,2.9103138175570064e-29,-3.226320622413904e-33
transcription_TU_500638.3.peg.64,0.0,-35.53695502473671
translation_500638.3.peg.66,1.9050157806880544e-30,-1.665509694052983e-32
transcription_TU_500638.3.peg.66,0.0,-1.0564957617152269e-31
translation_500638.3.peg.68,2.835821200214464e-07,-6.341479461714261e-32
transcription_TU_500638.3.peg.68,3.5258303118046396e-09,5.662608943969935e-32
translation_500638.3.peg.70,1.7501564415522222e-33,-9.789007322032682e-33
transcription_TU_500638.3.peg.70,0.0,-28.9284674765695
translation_500638.3.peg.73,1.8292607499577108e-30,-5.3650414787920755e-33
transcription_TU_500638.3.peg.73,0.0,-74.5559258225185
translation_500638.3.peg.74,1.8292607499577108e-30,7.497279197240044e-33
transcription_TU_500638.3.peg.74,0.0,-102.74310114664871
translation_500638.3.peg.75,0.0,-2.6380985584878355e-32
