,maximum,minimum
EX_12dgr180(e),0.0,-3.2001718957644524e-18
EX_26dap_M(e),-0.037297433440058016,-0.24164798039483917
EX_2dmmq8(e),-0.0006665916654277961,-0.0006681004418337637
EX_2hyoxplac(e),1.7239729565015896e-23,0.0
EX_2obut(e),0.01852483619073305,0.0001318882638440108
EX_34dhphe(e),3.909447260306383e-24,0.0
EX_3mop(e),-0.9999683982383678,-1.0
EX_4abz(e),4.056261419865884e-35,-1.0580253925888832e-05
EX_4hoxpacd(e),4.068532915583241e-23,0.0
EX_5htrp(e),3.909447260306383e-24,0.0
EX_HC00319(e),7.017389687472957e-23,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),10.367454554264047,10.363773294494544
EX_acac(e),6.337629827947633e-06,0.0
EX_acald(e),7.926270042058886e-06,0.0
EX_acgam(e),-9.148651962405539e-36,-9.148651962405539e-36
EX_adn(e),-0.01829153192202758,-0.020822278418731972
EX_adocbl(e),-0.0006665916654277961,-0.0006665916654277961
EX_ala_D(e),0.03316790091102546,-0.08101570337629244
EX_ala_L(e),0.002988924701468244,-0.1111946144018877
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_alltn(e),0.0,0.0
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.05978477676985666,-0.14948769424715397
EX_asn_L(e),-0.22499471609556426,-0.225
EX_asp_L(e),-0.22499365935515445,-0.225
EX_bhb(e),6.33749505398982e-06,0.0
EX_biomass(e),0.0,0.0
EX_but(e),3.890921542250433e-23,0.0
EX_butso3(e),0.0,-4.116505774380359e-24
EX_ca2(e),2.3271150690811655e-28,-9.085807099730949e-08
EX_cbl1(e),2.459902023989602e-31,-6.871666390735533e-12
EX_cbl2(e),0.0,0.0
EX_cd2(e),9.877248028104513e-30,0.0
EX_cgly(e),-0.9999787581512392,-1.0
EX_chol(e),5.101399211933905e-24,-1.6528405172682892e-23
EX_chor(e),-0.9999683749967935,-1.0
EX_cit(e),-0.9999973595034664,-1.0
EX_cl(e),6.182623836356639e-29,2.59208037493644e-29
EX_co2(e),8.78927457911928,8.696191165711543
EX_cobalt2(e),-0.0006666223912182241,-0.0006667693086421471
EX_csn(e),0.0,0.0
EX_cu2(e),5.228497080397619e-29,-1.0842414367686867e-29
EX_cys_L(e),-0.9999894232817987,-1.0
EX_cytd(e),3.957710345954907e-06,0.0
EX_dad_2(e),-0.008051844895622199,-0.00806239912493694
EX_dopa(e),0.0,0.0
EX_etha(e),5.029160419731159e-24,0.0
EX_ethso3(e),0.0,0.0
EX_etoh(e),1.0572091168359906e-05,0.0
EX_fe2(e),-1.517381938104718e-08,-2.2064419876753234e-06
EX_fe3(e),1.1498312916079495e-29,-1.6225630051083498e-29
EX_for(e),0.028616366657513544,0.021723998322847583
EX_fru(e),-0.14898352472857931,-0.14898579
EX_fum(e),-0.9999954728318783,-1.0
EX_galct_D(e),6.982602884305216e-23,0.0
EX_galt(e),0.0,0.0
EX_gam(e),-1.7847803683883638e-37,-4.864846635748509e-06
EX_gcald(e),3.5222481879074377e-06,0.0
EX_glc_D(e),-3.046025162049474e-35,-4.865345117762974e-06
EX_glcr(e),7.521965635937362e-23,0.0
EX_gln_L(e),0.023974417526008877,-0.04495015393842313
EX_glu_L(e),-0.1179063163664529,-0.18
EX_gly(e),-0.449936255912547,-0.45
EX_glyasn(e),3.0602705298609196e-23,0.0
EX_glyasp(e),3.0602705298609196e-23,0.0
EX_glyb(e),0.0,0.0
EX_glyc(e),-1.7996495723983594,-1.79965486
EX_glyclt(e),3.164646464074945,3.1612397660339315
EX_glycys(e),1.3190045404928312e-24,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),3.740516348798286e-23,0.0
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_gthrd(e),-0.0006617129340256371,-0.0006665916654277961
EX_gua(e),-0.020000853636175552,-0.022528574116377903
EX_h(e),-0.9999682800880983,-1.0
EX_h2o(e),-4.428561235400791,-4.6221257364655655
EX_h2s(e),1.999263575836657,1.9955832283604102
EX_hdca(e),3.7323076544253096e-23,-4.525528661105192e-06
EX_hexs(e),0.0,-4.116505774380359e-24
EX_his_L(e),-0.020874596676681578,-0.15
EX_hista(e),0.12912992657946196,0.0
EX_hxan(e),0.0,-3.158599719943907e-05
EX_ile_L(e),-0.08464536744338992,-0.08832029930911232
EX_ind3ac(e),0.0,0.0
EX_ins(e),3.166736261606343e-05,0.0
EX_isetac(e),-2.71480439023606e-57,0.0
EX_k(e),-4.1819756374389855e-08,-1.2860482524611528e-07
EX_lac_D(e),1.586401985157041e-05,0.0
EX_lac_L(e),1.586215973191941e-05,0.0
EX_leu_L(e),-0.14307325025483214,-0.1431253190537759
EX_lys_L(e),0.14102566380683015,-0.06332318903937868
EX_mal_L(e),5.280532405703933e-06,0.0
EX_malt(e),0.0,0.0
EX_man(e),-1.0151764632416406e-35,-4.865007047207613e-06
EX_met_D(e),0.0,0.0
