,maximum,minimum
EX_12ppd_S(e),0.0,0.0
EX_26dap_M(e),9.691870512393773e-23,-1.0
EX_Ser_Thr(e),6.956732575334738e-23,0.0
EX_T_antigen(e),0.0,0.0
EX_Tn_antigen(e),0.0,0.0
EX_ac(e),5.695457254374783,-1.0
EX_acald(e),7.536876128349197,0.0
EX_acgal(e),4.637821716889825e-24,0.0
EX_acgam(e),0.831197453665119,-3.7255700815087983e-22
EX_acnam(e),0.0,-5.317235828613656e-23
EX_ala_L(e),-0.0006877009418277775,-0.0024126520883767147
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arab_L(e),2.9471142085223795e-56,-0.17878295
EX_arbt(e),2.0411490111384545e-56,0.0
EX_asn_L(e),1.4229295890325457,-0.0013124104239286983
EX_asp_L(e),2.6223730405755994,-0.225
EX_biomass(e),0.0,0.0
EX_btn(e),-2.776015315211819e-56,-2.776015315211819e-56
EX_ca2(e),7.599151181257648e-30,-1.557180235961111e-05
EX_cd2(e),1.575398324876394e-31,0.0
EX_cgly(e),0.0,-1.0
EX_chtbs(e),0.0,0.0
EX_cl(e),3.752113710921902e-30,2.0846312807309276e-30
EX_co2(e),5.923201094749117,0.0
EX_cobalt2(e),-2.2769927978757183e-05,-7.34946418371584e-05
EX_core2(e),4.637821716889825e-24,0.0
EX_core3(e),4.637821716889825e-24,0.0
EX_core4(e),4.637821716889825e-24,0.0
EX_core5(e),6.956732575334738e-24,0.0
EX_core6(e),1.3913465150669476e-23,0.0
EX_core7(e),4.637821716889825e-24,0.0
EX_core8(e),4.637821716889825e-24,0.0
EX_cro4(e),0.0,0.0
EX_cu2(e),0.0,0.0
EX_cys_L(e),0.9998937482273562,-0.0007209612649825958
EX_dextrin(e),0.0,0.0
EX_drib(e),0.0,0.0
EX_dsT_antigen(e),0.0,0.0
EX_etoh(e),5.49967335973038,0.0
EX_f1a(e),4.637821716889825e-24,0.0
EX_fe2(e),-5.364834198550446e-13,-8.298884632073642e-05
EX_fe3(e),0.0,-4.389671485235691e-23
EX_for(e),5.398748915173365,-1.0
EX_fru(e),0.0,-0.14898579
EX_gal(e),0.0,-0.14898579
EX_glc_D(e),-1.88079096131566e-35,-0.14898579
EX_gln_L(e),0.17781067787422725,-0.18
EX_glu_L(e),1.9473572574807675e-26,-0.18
EX_gly(e),1.3487675630781346,-0.45
EX_glyasn(e),1.4928428249225518e-22,0.0
EX_glyasp(e),1.4928428249225518e-22,0.0
EX_glyb(e),0.0,0.0
EX_glyc(e),0.14898579,-1.79965486
EX_glycys(e),9.208685158546474e-24,0.0
EX_glygln(e),1.4928428249225518e-22,0.0
EX_glyglu(e),1.4928428249225518e-22,0.0
EX_glyleu(e),1.6496876021799638e-22,0.0
EX_glymet(e),1.4928428249225518e-22,0.0
EX_glyphe(e),1.4928428249225518e-22,0.0
EX_glypro(e),1.4928428249225518e-22,0.0
EX_glytyr(e),1.4928428249225518e-22,0.0
EX_gncore1(e),4.637821716889825e-24,0.0
EX_gncore2(e),4.637821716889825e-24,0.0
EX_h(e),6.050770557741932,-1.0
EX_h2o(e),0.13674458659040706,0.13674458659040706
EX_hg2(e),0.0,0.0
EX_his_L(e),5.097879939206597e-35,5.097879939206597e-35
EX_ile_L(e),-0.001688441885749031,-0.001688441885749031
EX_k(e),-3.730530959881063e-12,-3.730530959881063e-12
EX_lac_D(e),0.0,0.0
EX_lac_L(e),0.0,0.0
EX_lcts(e),-0.07449289,-0.07449289
EX_leu_L(e),-0.001970818294565853,-0.001970818294565853
EX_lys_L(e),1.4923674202138786,1.4923674202138786
EX_malt(e),-0.07449289,-0.07449289
EX_malthx(e),9.893997582060599e-23,0.0
EX_malttr(e),1.1156751997907856e-22,0.0
EX_man(e),4.70197740328915e-36,-0.14898579
EX_mantr(e),6.337975491997087e-23,0.0
EX_met_L(e),-0.0004573085736673143,-0.0004573085736673143
EX_metala(e),0.0,0.0
EX_mg2(e),-1.8599492505474645e-05,-7.662417690437727e-05
EX_mn2(e),-5.485460603689193e-11,-5.485460603689193e-11
EX_na1(e),5.565050573997536e-33,5.565050573997536e-33
EX_nac(e),-2.2769928074687266e-05,-2.2769928074687266e-05
EX_nh4(e),1.218201805616298,1.218201805616298
EX_no2(e),0.0,0.0
EX_o2(e),0.0,0.0
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.0005847108283714068,-0.0005847108283714068
EX_pi(e),-0.0017319275543721624,-0.0017319275543721624
EX_ppa(e),1.2375626659649248e-21,1.2375626659649248e-21
EX_pro_L(e),-0.0005643585604893261,-0.0005643585604893261
EX_ptrc(e),0.0,0.0
EX_pydx(e),-2.2771246149057923e-05,-2.2771246149057923e-05
EX_pydxn(e),-3.476870681329663e-38,-3.476870681329663e-38
EX_rib_D(e),6.5819167819432074e-52,6.5819167819432074e-52
EX_ribflv(e),-4.553985520207093e-05,-4.553985520207093e-05
EX_sT_antigen(e),0.0,0.0
EX_sTn_antigen(e),0.0,0.0
EX_salcn(e),0.0,0.0
EX_ser_L(e),1.8473848933972563,-1.0
EX_so4(e),0.0,0.0
EX_spmd(e),0.0,0.0
EX_thr_L(e),-0.0012262058586719566,-0.0012262058586719566
EX_tyr_L(e),-0.0006616617344671046,-0.0006616617344671046
EX_ura(e),-0.2033440609081569,-0.2033440609081569
EX_urea(e),0.0,0.0
