,maximum,minimum
EX_34dhpha(e),0.0,0.0
EX_3hphac(e),6.8581372166507e-24,0.0
EX_4hbz(e),0.00012402851442138048,-1.0680238829357014e-22
EX_Cit_Mg(e),0.0,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),10.126363769009743,10.09122171611747
EX_acald(e),0.002214889438187034,0.0
EX_acgam(e),-0.9987372270998955,-1.0
EX_adn(e),-0.0361775376465002,-0.051917765539144914
EX_adocbl(e),2.930155892329618e-23,-2.903747813047755e-08
EX_akg(e),0.0008024833853479237,0.0
EX_ala_D(e),0.003541036811185154,-0.004985727355858276
EX_ala_L(e),0.00799070140149712,-0.0018194008444629335
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),2.533425716916758e-23,0.0
EX_alathr(e),0.0,0.0
EX_alltn(e),-1.115046827618024e-56,-1.115046827618024e-56
EX_arab_L(e),0.0,0.0
EX_arg_L(e),-0.0864486402732722,-0.08691165471448217
EX_arsenb(e),0.0,0.0
EX_asn_L(e),-0.20666045284273618,-0.225
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.22313490923598867,-0.225
EX_biomass(e),0.0,0.0
EX_btn(e),1.2798775195737734e-22,-0.0005826943532537848
EX_butso3(e),0.0,-3.931863289496409e-24
EX_ca2(e),1.248291478503475e-28,-4.510524558507654e-06
EX_cbl1(e),-2.9830695166798236e-42,-2.9037478079049324e-08
EX_cbl2(e),0.0,0.0
EX_cd2(e),8.922253282913066e-29,0.0
EX_cgly(e),0.0,-0.0011689031823896346
EX_chol(e),0.0,-0.000502329635734103
EX_cit(e),-0.9996153334053657,-1.0
EX_cl(e),-4.808194500405343e-29,-4.808194500405343e-29
EX_co2(e),2.5954158650376833,2.574995054975508
EX_cobalt2(e),-0.0024186336744083637,-0.0024200731001929507
EX_csn(e),0.0,0.0
EX_cu2(e),4.313994494788349e-31,-9.565963744788557e-07
EX_cys_L(e),-0.0732133788468597,-0.08415069405824865
EX_cytd(e),0.0002613067504663633,0.0
EX_dad_2(e),0.0028085212418648697,-0.012931705375138184
EX_dcyt(e),0.0002586538945780966,-0.01641020465087512
EX_ddca(e),1.631211883794542e-05,-0.00039953909082189956
EX_dgsn(e),-0.04097451322557459,-0.04122518071488787
EX_din(e),6.387595523635754e-23,0.0
EX_dms(e),0.0,0.0
EX_dmso(e),0.0,0.0
EX_drib(e),1.0880382755618855e-34,-0.0015439080836261285
EX_duri(e),3.017972051354735e-23,0.0
EX_ethso3(e),0.0,0.0
EX_etoh(e),0.0036137085615710164,0.0
EX_fe2(e),-1.4255360232838786e-08,-1.367418790376656e-07
EX_fe3(e),0.0,-8.484156982646386e-11
EX_for(e),9.87978690233507,9.853924400048545
EX_fum(e),-0.9987915918331792,-1.0
EX_gal(e),-0.14566549802242454,-0.14898579
EX_galctn_D(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_galur(e),0.0,0.0
EX_gcald(e),4.2122546211985455e-07,0.0
EX_glc_D(e),-0.14834072177066157,-0.14898579
EX_glcur(e),0.0,0.0
EX_gln_L(e),-0.06622683417313818,-0.0729268025466493
EX_glu_L(e),-0.1743272337020928,-0.18
EX_gly(e),-0.01240937843651459,-0.02338997265525209
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyb(e),0.0005023296357341027,0.0
EX_glyc(e),-1.7903336027583479,-1.79965486
EX_glyc3p(e),-0.9994087276545107,-1.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),3.174432861195552e-23,0.0
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_h(e),8.991860811693519,8.93565776506367
