,maximum,minimum
EX_C02528(e),0.0,0.0
EX_Lcyst(e),0.0,0.0
EX_ac(e),4.604486267691652,4.604158054930434
EX_acald(e),6.550696210226502e-05,0.0
EX_ala_L(e),-0.999934469314537,-1.0
EX_alaasp(e),3.8693549634379596e-23,0.0
EX_alagln(e),3.797038081178847e-23,0.0
EX_alaglu(e),3.8693549634379596e-23,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),3.822426879353473e-23,0.0
EX_arab_L(e),-0.17871738264629103,-0.17878295
EX_arabttr(e),4.7333294546301616e-23,0.0
EX_arg_L(e),-0.053025543615975695,-0.053050355304676826
EX_asn_L(e),-0.008737458093713386,-0.008747537811210593
EX_asp_L(e),-0.2249812813039449,-0.225
EX_biomass(e),0.0,0.0
EX_btn(e),6.412577768489179e-57,6.412577768489179e-57
EX_butso3(e),0.0,0.0
EX_ca2(e),1.2679864965670713e-29,-7.121058703858756e-12
EX_cd2(e),3.258897882184412e-31,0.0
EX_cgly(e),-0.00012189082215447724,-0.00018738610441884783
EX_cholate(e),1.2942075425922797e-23,0.0
EX_cl(e),0.0,0.0
EX_co2(e),0.15142549841518654,0.15122771952164968
EX_cobalt2(e),-0.00012189195786516479,-0.00012209499999717662
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.0015416024203275785,-0.0016138699264941947
EX_ddca(e),-0.004922672941878944,-0.004925868415260657
EX_dextrin(e),1.6646550370059204e-23,0.0
EX_dgchol(e),0.0,0.0
EX_ethso3(e),0.0,0.0
EX_etoh(e),0.47117772749946746,0.4708159948397726
EX_fe2(e),-1.6889351080975831e-09,-7.266709878092366e-07
EX_fe3(e),0.0,-8.834730979815479e-24
EX_fol(e),-0.00036567246646343173,-0.00036567246646343173
EX_for(e),3.3010978545085266,3.3009949915632406
EX_gchola(e),0.0,0.0
EX_glc_D(e),-0.14895302084651207,-0.14898579
EX_gln_L(e),0.0,-6.548775475549858e-05
EX_glu_L(e),-0.17986891707523164,-0.18
EX_gly(e),0.1977865062563419,0.19765548468214236
EX_glyasn(e),0.0,0.0
EX_glyasp(e),3.885631154649382e-23,0.0
EX_glyc(e),0.001258575087598202,0.0012574456395616409
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),5.1859855254078387e-23,0.0
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_h(e),5.332643500254436,5.332413380807757
EX_h2o(e),-2.4588306372032456,-2.4592574968791436
EX_hexs(e),0.0,0.0
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.003213662705588312,-0.0032303142778159592
EX_hxan(e),-0.0033661402199505717,-0.00351469398199955
EX_ile_L(e),-0.019931406970009096,-0.01999989117930419
EX_isetac(e),0.0,0.0
EX_k(e),-2.685891507052397e-08,-2.8877914051955114e-07
EX_lac_L(e),6.551823953416372e-05,0.0
EX_lcts(e),-0.07448196854809828,-0.07449289
EX_leu_L(e),-0.025582616697397507,-0.02560610466838093
EX_lys_L(e),-0.007807134885091599,-0.007829808800419764
EX_malt(e),-0.07448196875058696,-0.07449289
EX_malthx(e),3.689679478059886e-23,0.0
EX_malttr(e),4.165738461538399e-23,0.0
EX_mantr(e),1.6646550370059204e-23,0.0
EX_melib(e),-0.07448196847107379,-0.07449289
EX_met_D(e),0.0,0.0
EX_met_L(e),-1.0505819640101162e-35,-6.551071411412057e-05
EX_metala(e),3.709055120952074e-23,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),-0.010434034608772158,-0.010501013205433972
EX_mg2(e),-0.00023021309358048388,-0.00023104483800694258
EX_mn2(e),-3.946632176081096e-08,-4.278508480928676e-07
EX_mops(e),0.0,0.0
EX_mqn7(e),-0.00024378164430895449,-0.00024378164430895449
EX_mso3(e),0.0,0.0
EX_na1(e),3.84360068672179e-27,-2.6749116870771178e-11
EX_nac(e),-0.00012190851208731285,-0.0001223052619461662
EX_nh4(e),2.1260252515324423,2.11187448541682
EX_o2(e),8.010024150698347e-24,0.0
EX_ocdca(e),-0.0033531883721643757,-0.0033577061643106196
EX_orn(e),0.053050355304676826,0.039070149084655746
EX_pb(e),0.0,0.0
EX_phe_L(e),0.9861384129687744,0.9860629181581387
EX_pheme(e),-0.00012189082215447724,-0.00012189082215447724
EX_pi(e),-0.027062337924423346,-0.02707436729553542
EX_pnto_R(e),-0.00012189082215447724,-0.00012189082215447724
EX_pro_L(e),0.18673042300618772,0.1725779112603424
EX_pydam(e),0.0,0.0
EX_pydx(e),-0.00011181259274746016,-0.00012225240347921054
EX_pydxn(e),0.0,0.0
EX_raffin(e),-0.0046964797854785805,-0.00470194
EX_rib_D(e),-0.1787173820322786,-0.17878295
EX_ribflv(e),-0.00024378300402170267,-0.00024398429552191135
EX_ser_L(e),-0.9999672406122774,-1.0
EX_sheme(e),-0.00012189082215447724,-0.00012189082215447724
EX_so4(e),0.0,0.0
EX_spmd(e),-0.00012189082215447724,-0.00012189082215447724
