,maximum,minimum
EX_12dgr180(e),-0.0003043424284231098,-0.0003043424284231098
EX_C02528(e),1.3162591692314829e-23,0.0
EX_ac(e),-0.9999691265278444,-1.0
EX_acac(e),3.858851115486121e-06,0.0
EX_acgam(e),0.0,0.0
EX_adocbl(e),-0.0003338259271007511,-0.00033447593160853157
EX_ala_L(e),-0.024511542758504416,-0.024522040645003126
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_arab_L(e),0.0,-3.3019708686516333e-23
EX_arbt(e),0.0,0.0
EX_arg_L(e),-0.1499943862678023,-0.15
EX_asn_L(e),-0.006363979390492992,-0.006369251544397855
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.2249963678056632,-0.225
EX_bhb(e),0.0,0.0
EX_biomass(e),0.0,0.0
EX_btn(e),0.0,0.0
EX_but(e),1.3119778534607243,1.311949957496367
EX_ca2(e),2.6208548753732917e-43,-2.6754739710117895e-07
EX_cbl1(e),0.0,-6.499572565608841e-07
EX_cbl2(e),0.0,0.0
EX_cd2(e),1.0686426105499755e-30,0.0
EX_cgly(e),1.1458472134385739e-25,-1.0290727248055616e-05
EX_cholate(e),1.3162591692314829e-23,0.0
EX_cl(e),2.0046776084798007e-29,1.1424047290622028e-29
EX_co2(e),1.2346375458106386e-05,0.0
EX_cobalt2(e),-0.0003344762224042891,-0.00033449482345301797
EX_cu2(e),0.0,0.0
EX_cys_L(e),-0.0036163928118585695,-0.0036290691695878272
EX_dgchol(e),0.0,0.0
EX_drib(e),0.0,-3.962618658541164e-23
EX_fe2(e),-0.00033447606522924356,-0.0003346525865898305
EX_fe3(e),0.0,0.0
EX_for(e),-0.013144436949857159,-0.013226780939989354
EX_fru(e),-0.1489843196919308,-0.14898579
EX_galt(e),0.0,0.0
EX_gam(e),-0.005476693387084927,-0.0054781637116159765
EX_gchola(e),0.0,0.0
EX_glc_D(e),-0.14898431968856227,-0.14898579
EX_gln_L(e),-0.17999117537599302,-0.18
EX_glu_L(e),-0.1799911763618027,-0.18
EX_gly(e),-0.027230438875715298,-0.027247376905558535
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glyc(e),-1.7996506004733552,-1.79965486
EX_glycys(e),0.0,0.0
EX_glygln(e),3.996764029650383e-23,0.0
EX_glyglu(e),4.0731132352479604e-23,0.0
EX_glyleu(e),5.358885712234136e-23,0.0
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_h(e),2.242630506885747,2.1802498129029577
EX_h2(e),6.5812958461574145e-24,-8.777390398233695e-24
EX_h2o(e),2.114614103189326,2.05222027263409
EX_hdca(e),-4.53944135358911e-35,-1.1050551393751981e-06
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.0029934849487291033,-0.0029966471098351838
EX_hxan(e),-0.004603878314518555,-0.004629570205243394
EX_ile_L(e),-2.3392010426017e-37,-5.36879434265295e-06
EX_k(e),-9.768838925361904e-10,-2.6367215037683546e-08
EX_lac_L(e),6.860826429931097e-06,0.0
EX_leu_L(e),-0.023780538352079102,-0.023786276599000636
EX_lys_L(e),-0.14999636751965686,-0.15
EX_malt(e),-5.513027472161765e-52,-5.513027472161765e-52
EX_man(e),-2.6767209485953012e-52,-2.6767209485953012e-52
EX_met_L(e),-0.006233331753638267,-0.006237311259289933
EX_metala(e),0.0,0.0
EX_mg2(e),-0.0002238731290578786,-0.00022454014907855282
EX_mn2(e),-5.124606746059521e-10,-4.0081210572471706e-07
EX_mnl(e),0.0,0.0
EX_mobd(e),0.0,0.0
EX_mqn7(e),-0.000668951768714624,-0.000668951768714624
EX_n2(e),0.0,0.0
EX_na1(e),3.8997947709336685e-27,-1.469222405290777e-10
EX_nac(e),-0.0003334802915838618,-0.00033450302510606343
EX_nh4(e),1.3632176472441506,1.3631760374767796
EX_o2(e),1.5552979521438747e-07,0.0
EX_ocdca(e),-0.0028939913261857996,-0.0028950963832499923
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.00873684306232224,-0.008743696004126094
EX_pheme(e),-0.000334475884357312,-0.000334475884357312
EX_pi(e),-0.04471478486949983,-0.16945493413625096
EX_pnto_R(e),-0.00033326964873069473,-0.0003345469084878141
EX_ppi(e),0.06236853847164724,0.0
EX_pro_L(e),0.12670752340261837,0.12668125190708862
EX_pydx(e),-0.00033448619989773145,-0.000334559792669228
EX_rib_D(e),3.962618658541164e-23,0.0
EX_salcn(e),0.0,0.0
EX_sbt_D(e),0.0,0.0
EX_so4(e),-2.0736925237436777e-57,-2.0736925237436777e-57
EX_spmd(e),-0.000334475884357312,-0.000334475884357312
EX_succ(e),1.7446833720554378,1.7446392772758008
EX_sucr(e),0.0,0.0
EX_taur(e),0.0,-1.3162591692314829e-23
EX_tchola(e),0.0,0.0
EX_tdchola(e),0.0,0.0
EX_thm(e),-0.0003341453475601716,-0.0003344883856234517
EX_thr_L(e),-0.026905831700711882,-0.026917256554665002
EX_tma(e),2.6430379565273565e-55,0.0
EX_tmao(e),0.0,0.0
EX_tre(e),0.0,0.0
EX_ttdca(e),-1.497957977302161e-29,-1.1050570641927412e-06
EX_tyr_L(e),-0.009655745053481726,-0.009662271244432304
EX_urea(e),5.612920929394184e-06,0.0
EX_val_L(e),-0.010494851664986284,-0.010514732641924842
